"ID";"Gene.Title";"Gene.Symbol";"Entrez.Gene";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"11738276_s_at";"speedy/RINGO cell cycle regulator family member E3";"SPDYE3";"441272";-1,63823425699933;10,6471608476579;-9,29122475325968;6,6510013776494e-10;"5.220e-07";12,727467377817
"11715315_s_at";"RAB guanine nucleotide exchange factor (GEF) 1";"RABGEF1";"27342";-1,87218619178714;8,76584319220694;-9,20810873224953;8,01477030334282e-10;"5.806e-07";12,5483285958575
"11728948_at";"beta-carotene oxygenase 1";"BCO1";"53630";-2,24458564815135;7,48433661441292;-9,12852364458129;9,5900997714654e-10;"6.056e-07";12,3758685448982
"11735262_x_at";"cation channel, sperm associated 2";"CATSPER2";"117155";-1,42732137345643;9,33377590084011;-9,12596526946136;9,6457135855878e-10;"6.056e-07";12,370309445769
"11760599_at";"huntingtin interacting protein 1";"HIP1";"3092";-2,27104762978443;8,86600732507164;-9,03676425795763;1,18066276907409e-09;"6.583e-07";12,1758948956052
"11761064_x_at";"speedy/RINGO cell cycle regulator family member E2B";"SPDYE2B";"100310812";-1,90590123150124;10,1307246231789;-9,03392854773663;1,1882949131321e-09;"6.583e-07";12,1696956350665
"11751332_a_at";"cytokine receptor-like factor 3";"CRLF3";"51379";-1,7109794101062;8,4834972490158;-8,78853256877685;2,08370048516663e-09;"9.812e-07";11,6288362859078
"11760004_at";"HHSL751";"LOC100508226";"100508226";-1,79525177837084;6,83191624047889;-8,7943371493105;2,05601329688813e-09;"9.812e-07";11,6417299355703
"11761677_at";"TAM41 mitochondrial translocator assembly and maintenance homolog";"TAMM41";"132001";-1,84199263958413;7,66448939738947;-8,83428304958685;1,87542425298736e-09;"9.812e-07";11,7303296843506
"11759441_at";"chromosome 16 open reading frame 72";"C16orf72";"29035";-1,490349866237;7,56194873903238;-8,74212585523044;2,31926269685255e-09;"1.040e-06";11,5255791011981
"11763582_at";"Ral GTPase activating protein, alpha subunit 1 (catalytic)";"RALGAPA1";"253959";-2,14947715691417;6,70612392291563;-8,70922060616968;2,50268805880896e-09;"1.071e-06";11,4521754579315
"11760817_at";"cyclin-dependent kinase-like 3";"CDKL3";"51265";-1,61932721880563;6,76911503274247;-8,68647891833058;2,63808939068841e-09;"1.080e-06";11,4013531951859
"11737350_x_at";"stromal antigen 3-like 2 (pseudogene)";"STAG3L2";"442582";-1,28698584347356;11,3764058549159;-8,61938474688054;3,0829977603353e-09;"1.210e-06";11,2509802106812
"11724811_at";"zinc finger protein 346";"ZNF346";"23567";-1,40857575423874;6,78979011476276;-8,4995804627256;4,07824891240004e-09;"1.281e-06";10,9808638838215
"11745798_x_at";"long intergenic non-protein coding RNA 1000";"LINC01000";"402483";-1,59556577953498;8,79193742899254;-8,55581168691189;3,57555638204237e-09;"1.281e-06";11,1079019500211
"11746227_at";"potassium channel tetramerization domain containing 5 pseudogene";"LOC652276";"652276";-1,26625063523322;9,11307266412198;-8,52020027500277;3,88600365330808e-09;"1.281e-06";11,0275009935166
"11761780_x_at";"RAB guanine nucleotide exchange factor (GEF) 1 pseudogene";"GS1-124K5.11";"493754";-1,30518067516706;7,69645168636187;-8,49929879591074;4,08094137292061e-09;"1.281e-06";10,980226398563
"11762395_at";"KIAA1324";"KIAA1324";"57535";-1,96208658021283;6,37300329341278;-8,50508313650307;4,02601207626892e-09;"1.281e-06";10,9933155848463
"11763413_at";"ASAP1 intronic transcript 2";"ASAP1-IT2";"100507117";-1,9369549836092;7,28771810003152;-8,54130250503096;3,69885539134004e-09;"1.281e-06";11,075166094961
"11757215_x_at";"FK506 binding protein 1A pseudogene 1";"FKBP1AP1";"2282";-1,98325898502234;8,25857846568471;-8,44363549171167;4,65043171718155e-09;"1.413e-06";10,8540228372362
"11761583_at";"UPF3 regulator of nonsense transcripts homolog A (yeast)";"UPF3A";"65110";-1,4734967390615;9,27509207783159;-8,32147039275181;6,20339361924805e-09;"1.826e-06";10,5754889634413
"11745304_s_at";"profilin 1 pseudogene 2";"PFN1P2";"767846";-1,28722479459424;9,47545846011577;-8,22871872534571;7,73050483997529e-09;"2.141e-06";10,3625967566523
"11762327_at";"methyltransferase like 2B";"METTL2B";"55798";-1,49412782708957;7,7672459951459;-8,23159018217997;7,67788318999159e-09;"2.141e-06";10,369205925369
"11715284_x_at";"chromosome 15 open reading frame 40";"C15orf40";"123207";-1,55969465647553;9,32601256602163;-8,20392855815096;8,2004354531703e-09;"2.163e-06";10,3054891486377
"11741372_x_at";"speedy/RINGO cell cycle regulator family member E6";"SPDYE6";"729597";-1,9357260427184;6,03105313284306;-8,19881788665198;8,3008945252731e-09;"2.163e-06";10,2937051732042
"11741932_a_at";"potassium channel regulator";"KCNRG";"283518";-2,14886263949728;7,26653942026114;-8,17781896885611;8,72706089261456e-09;"2.163e-06";10,245247909023
"11759056_a_at";"family with sequence similarity 71, member F2";"FAM71F2";"346653";-1,40400689728441;7,46829358493114;-8,18713093475251;8,53538117856185e-09;"2.163e-06";10,2667439776415
"11728431_a_at";"signal peptide, CUB domain, EGF-like 3";"SCUBE3";"222663";-1,40808600527674;7,25937877057922;-8,08740892541487;1,08335157604076e-08;"2.616e-06";10,0359051910449
"11738926_x_at";"keratin associated protein 5-1";"KRTAP5-1";"387264";-1,95040257023516;9,6144376284756;-8,06466824965824;1,14409356959232e-08;"2.628e-06";9,98306821507543
"11761057_s_at";"3-phosphoinositide dependent protein kinase 1";"PDPK1";"5170";-1,70562282540876;8,96052024506185;-8,07297032859138;1,12152434515438e-08;"2.628e-06";10,0023661682027
"11736836_at";"two pore segment channel 2";"TPCN2";"219931";-1,43729329035866;9,32971451036616;-8,04101049302894;1,21098934697682e-08;"2.715e-06";9,92802327900193
"11761852_x_at";"nuclear VCP-like";"NVL";"4931";-1,39243142915349;9,57383061996837;-7,97166753826991;1,43106378083596e-08;"3.134e-06";9,76622956326506
"11731072_x_at";"zinc finger protein 587";"ZNF587";"84914";-1,22337978583;7,88542305055826;-7,95525985292463;1,48887405425599e-08;"3.187e-06";9,72784809689449
"11745630_a_at";"lysozyme G-like 2";"LYG2";"254773";-1,91239415159549;7,44697056760386;-7,93988631834489;1,54520721860672e-08;"3.234e-06";9,69185166352294
"11759726_at";"chromosome 14 open reading frame 159";"C14orf159";"80017";-1,58706918690971;8,1815833228909;-7,9159279719302;1,63737692848216e-08;"3.352e-06";9,63568862480064
"11740583_at";"pogo transposable element with ZNF domain";"POGZ";"23126";-1,68609825820755;7,74103475077915;-7,89699088514232;1,71419420498122e-08;"3.435e-06";9,59123988385016
"11760403_at";"spectrin, alpha, non-erythrocytic 1";"SPTAN1";"6709";-1,49319235840885;10,3564025789803;-7,87812057871012;1,79440833544662e-08;"3.449e-06";9,54689833392313
"11761809_at";"ST3 beta-galactoside alpha-2,3-sialyltransferase 3";"ST3GAL3";"6487";-1,62356944030414;6,10834196295468;-7,88178738708975;1,77852650280678e-08;"3.449e-06";9,55551848908319
"11719023_a_at";"zinc finger protein 652";"ZNF652";"22834";-1,38462062086402;9,0726005334022;-7,86268277782984;1,86287919544771e-08;"3.509e-06";9,51058576930362
"11760022_x_at";"intraflagellar transport 172";"IFT172";"26160";-1,52686555062632;9,112323429288;-7,83020756355055;2,01576755327975e-08;"3.669e-06";9,43409033584591
"11760480_at";"cell death-inducing DFFA-like effector c pseudogene";"CIDECP";"152302";-1,20133856328949;7,15157974858898;-7,82816434107908;2,02580519274989e-08;"3.669e-06";9,42927264546785
"11724385_a_at";"hydrolethalus syndrome 1";"HYLS1";"219844";1,35254982508078;8,11881231089983;7,81585485019141;2,08736776657337e-08;"3.709e-06";9,40023604394018
"11752790_a_at";"trinucleotide repeat containing 6B";"TNRC6B";"23112";-1,49732541588614;10,4361392852957;-7,79741929665255;2,18316478675262e-08;"3.808e-06";9,35670970952019
"11731081_at";"retinol binding protein 2, cellular";"RBP2";"5948";-1,64435976615126;6,74512434456507;-7,77763679058344;2,29096821105564e-08;"3.836e-06";9,30995115722786
"11761070_at";"mitochondrial ribosomal protein L20";"MRPL20";"55052";-1,21031172874816;7,85867912830066;-7,77213563069932;2,32190219455174e-08;"3.836e-06";9,29693887792953
"11762215_at";"aryl-hydrocarbon receptor nuclear translocator 2";"ARNT2";"9915";-2,23778689833889;6,06954653068266;-7,77292440943848;2,31744067862898e-08;"3.836e-06";9,29880488702428
"11737182_at";"solute carrier family 22 (organic anion/urate transporter), member 13";"SLC22A13";"9390";-1,85863896819665;6,96623336970366;-7,7325705223849;2,557331102452e-08;"3.885e-06";9,20323038497819
"11742734_s_at";"WD repeat domain 3";"WDR3";"10885";1,28186783747979;5,84903035488465;7,7538943522558;2,42756387142655e-08;"3.885e-06";9,25376175997256
"11755681_x_at";"high mobility group box 1";"HMGB1";"3146";1,33737075646147;7,24412205603553;7,74551860351348;2,47771329620774e-08;"3.885e-06";9,23392106273664
"11760117_x_at";"SSU72 homolog, RNA polymerase II CTD phosphatase";"SSU72";"29101";-1,25099530460221;9,70292556565093;-7,74390602158659;2,48748941232125e-08;"3.885e-06";9,23010003161494
"11761992_at";"lysine (K)-specific demethylase 4B";"KDM4B";"23030";-1,58344049403453;7,20754446978035;-7,73388479935761;2,54913179283792e-08;"3.885e-06";9,20634664647785
"11723734_s_at";"OTU domain containing 6B";"OTUD6B";"51633";1,4621151882859;6,28131844256483;7,71271603451265;2,68452630020617e-08;"3.950e-06";9,15612497391988
"11733224_at";"zinc finger protein 71";"ZNF71";"58491";-1,39627106338805;9,99484606111846;-7,71750515625589;2,65326576795759e-08;"3.950e-06";9,16749225133403
"11761227_at";"adenylosuccinate lyase";"ADSL";"158";-1,27988344368913;4,90721313660066;-7,68421801671586;2,87848582277322e-08;"4.171e-06";9,08841842287178
"11762049_at";"zinc finger, FYVE domain containing 28";"ZFYVE28";"57732";-1,97239767650578;7,25990255473339;-7,67789865437869;2,92340085467812e-08;"4.172e-06";9,07338967396273
"11759842_at";"protein tyrosine phosphatase, receptor type, G";"PTPRG";"5793";-1,81287681802047;7,37340786946782;-7,65390029900236;3,10059197942535e-08;"4.358e-06";9,01626714617336
"11738309_at";"SH3 and multiple ankyrin repeat domains 2";"SHANK2";"22941";-1,40831790623036;9,36463565188227;-7,60237938903936;3,51898883658918e-08;"4.874e-06";8,89336973278411
"11760634_at";"Rho guanine nucleotide exchange factor 10";"ARHGEF10";"9639";-1,35396376971118;7,5994855360692;-7,58948954008193;3,63240626638988e-08;"4.958e-06";8,86256632153309
"11762803_at";"amyloid beta (A4) precursor protein";"APP";"351";-1,54276252157035;7,946273394936;-7,5818240804681;3,70161732521656e-08;"4.980e-06";8,84423723377434
"11721422_s_at";"sperm associated antigen 16";"SPAG16";"79582";1,31500616799014;6,13686752546178;7,54104888098784;4,09306910328211e-08;"5.281e-06";8,74660577405636
"11725820_s_at";"progestin and adipoQ receptor family member III";"PAQR3";"152559";1,52654735578943;5,38397768157697;7,53635792931435;4,1407354827503e-08;"5.281e-06";8,73535953129495
"11736301_at";"histocompatibility (minor) 13";"HM13";"81502";-1,27913736270404;5,87139042265222;-7,54359847697971;4,06739709228827e-08;"5.281e-06";8,75271702355585
"11762692_at";"uncharacterized LOC285150";"FLJ33534";"285150";-1,29428373188107;6,33104834553473;-7,5355175066768;4,14933497474571e-08;"5.281e-06";8,73334436303874
"11733460_x_at";"pregnancy specific beta-1-glycoprotein 6";"PSG6";"5675";-1,4777176430255;8,01634667323981;-7,52989204793025;4,2073679384786e-08;"5.283e-06";8,71985318499046
"11743308_s_at";"COP9 signalosome subunit 4";"COPS4";"51138";1,53571082643408;8,278386968122;7,50095117380585;4,51929049202692e-08;"5.457e-06";8,6503792976651
"11751793_x_at";"MLX interacting protein";"MLXIP";"22877";-1,43521092383658;8,61494607798982;-7,50968435833042;4,42275464453416e-08;"5.457e-06";8,67135548311483
"11757200_x_at";"uncharacterized LOC285696";"LOC285696";"285696";-1,67139098444223;8,8418597774105;-7,50597129193821;4,46353873364144e-08;"5.457e-06";8,6624383331264
"11752325_a_at";"neurotrophic tyrosine kinase, receptor, type 3";"NTRK3";"4916";-1,57990504475748;9,55324988562983;-7,47619258363964;4,80482845512074e-08;"5.656e-06";8,59085657273347
"11761949_at";"sodium leak channel, non selective";"NALCN";"259232";-1,59995772521416;6,95395521043309;-7,47867174315549;4,77542544750709e-08;"5.656e-06";8,59682045254571
"11743398_s_at";"STARD3 N-terminal like";"STARD3NL";"83930";1,56244589491125;6,79839926663941;7,46165108996183;4,98105076186896e-08;"5.792e-06";8,55585904797777
"11759783_a_at";"cytoplasmic linker associated protein 2";"CLASP2";"23122";-1,4032393935895;8,69139070558251;-7,45243911358402;5,09608606121049e-08;"5.853e-06";8,5336737544449
"11730822_at";"COX19 cytochrome c oxidase assembly factor";"COX19";"90639";-1,17550652666401;6,94623614445787;-7,4458614189922;5,17988144244085e-08;"5.878e-06";8,51782575236531
"11738591_a_at";"IQ motif containing J";"IQCJ";"654502";-2,05424686140087;8,03853604511017;-7,37922548353256;6,11234377154684e-08;"6.779e-06";8,35695442702069
"11757202_at";"SUMO-interacting motifs containing 1 pseudogene";"LOC202181";"202181";-1,35596649249981;8,52782049720064;-7,37882408422507;6,11845169801421e-08;"6.779e-06";8,35598360777186
"11722013_at";"CWC15 spliceosome-associated protein";"CWC15";"51503";1,6248231651828;7,98392408567125;7,3659365120444;6,31790139790824e-08;"6.839e-06";8,32480268254852
"11760640_at";"potassium channel, voltage gated KQT-like subfamily Q, member 2";"KCNQ2";"3785";-1,23533775234531;11,3050709150258;-7,36891146850576;6,27127950735699e-08;"6.839e-06";8,33200239021688
"11730798_a_at";"family with sequence similarity 114, member A2";"FAM114A2";"10827";1,10062047531824;5,25017461785882;7,35673599551269;6,46433661526579e-08;"6.918e-06";8,30252914600901
"11731000_at";"adaptor-related protein complex 5, beta 1 subunit";"AP5B1";"91056";-1,24561170344985;8,14579080964762;-7,34357708946266;6,67981326702624e-08;"7.040e-06";8,27065354488978
"11760342_a_at";"protein phosphatase 3, catalytic subunit, beta isozyme";"PPP3CB";"5532";1,3663028896381;6,56317222378781;7,340707221587;6,72777228316555e-08;"7.040e-06";8,26369869582836
"11725055_at";"histamine N-methyltransferase";"HNMT";"3176";1,21982414718864;6,1762215368175;7,33138207022936;6,88604540729922e-08;"7.127e-06";8,24109268750555
"11739101_a_at";"SYF2 pre-mRNA-splicing factor";"SYF2";"25949";1,34319050589341;7,0331465269842;7,30459796367743;7,36209529010598e-08;"7.537e-06";8,1760999215148
"11731658_at";"translocation associated membrane protein 1-like 1";"TRAM1L1";"133022";1,11308708242391;6,1271558620939;7,28989856852408;7,63748825422122e-08;"7.734e-06";8,14039173121081
"11726883_s_at";"ATPase family, AAA domain containing 2B";"ATAD2B";"54454";1,80791295437499;6,37614849996912;7,27332553986505;7,96061144402857e-08;"7.904e-06";8,10009860338863
"11763478_x_at";"PIF1 5'-to-3' DNA helicase";"PIF1";"80119";-1,15469032648959;6,6741975464441;-7,27272306123124;7,97261707398789e-08;"7.904e-06";8,09863316223244
"11716693_a_at";"tetraspanin 6";"TSPAN6";"7105";1,44991406868642;6,23198032719552;7,26839714019841;8,05936389307196e-08;"7.907e-06";8,08810962006265
"11756388_s_at";"tRNA methyltransferase 10C, mitochondrial RNase P subunit";"TRMT10C";"54931";1,46394527168539;8,27119499925916;7,26335589947913;8,1616700571513e-08;"7.924e-06";8,07584290340593
"11727037_at";"mitochondrial antiviral signaling protein";"MAVS";"57506";-1,17896029513909;9,13935429062266;-7,25716784288111;8,28906191254607e-08;"7.966e-06";8,06078120513686
"11737650_at";"ankyrin repeat and FYVE domain containing 1";"ANKFY1";"51479";-1,32051333167108;6,47821317529188;-7,25138422072803;8,40996049543475e-08;"8.001e-06";8,04669945346377
"11760358_at";"SRGAP3 antisense RNA 3";"SRGAP3-AS3";"100288831";-1,27634371769622;7,36043220202107;-7,24576846083409;8,52907059028578e-08;"8.033e-06";8,03302230143294
"11730328_x_at";"DDB1 and CUL4 associated factor 13";"DCAF13";"25879";1,2155267343318;5,78138311809768;7,22638404561737;8,95359034962092e-08;"8.223e-06";7,98578064482759
"11748800_x_at";"POU class 2 homeobox 2";"POU2F2";"5452";-1,03850943450517;7,37616151872101;-7,23171594778033;8,83471773370784e-08;"8.223e-06";7,99877978619247
"11752707_a_at";"transmembrane protease, serine 9";"TMPRSS9";"360200";-1,3818444949997;7,16874583575938;-7,22462420310595;8,99318219425033e-08;"8.223e-06";7,98148936375673
"11723588_at";"ring finger and CCCH-type domains 1";"RC3H1";"149041";-1,18235037474651;9,56168515285904;-7,20334153227894;9,48635952864452e-08;"8.509e-06";7,92956145693991
"11760960_at";"echinoderm microtubule associated protein like 2";"EML2";"24139";-1,60549927098175;7,2858577687654;-7,20611150375691;9,4206422168217e-08;"8.509e-06";7,93632321661813
"11718937_at";"WDYHV motif containing 1";"WDYHV1";"55093";1,48230569306182;6,95586480173891;7,18895859780598;9,83518295896319e-08;"8.657e-06";7,89443569465567
"11734170_at";"long intergenic non-protein coding RNA 632";"LINC00632";"286411";-1,24979617452487;10,7192131844845;-7,19074238830689;9,79122075759137e-08;"8.657e-06";7,8987934643843
"11762510_at";"ATP binding cassette subfamily B member 9";"ABCB9";"23457";-1,37945030419867;6,1181464461853;-7,17682571857062;1,01395890034863e-07;"8.842e-06";7,86478457939496
"11760149_a_at";"protease, serine, 1 (trypsin 1)";"PRSS1";"5644";-1,24653188548524;6,11635873119472;-7,16712911267935;1,03897633151897e-07;"8.977e-06";7,84107399481501
"11763909_x_at";"small nucleolar RNA, C/D box 8";"SNORD8";"319103";-1,31239634015856;7,11338155602509;-7,16195974697019;1,05256956479439e-07;"9.012e-06";7,82842877165893
"11724926_at";"listerin E3 ubiquitin protein ligase 1";"LTN1";"26046";1,29461644799972;5,46084263810534;7,13999877637209;1,11236843047358e-07;"9.192e-06";7,774670641911
"11730912_at";"nucleophosmin (nucleolar phosphoprotein B23, numatrin)";"NPM1";"4869";1,39271143975875;6,59138062165202;7,13990508055406;1,11263084354753e-07;"9.192e-06";7,77444115450559
"11733939_at";"ribulose-5-phosphate-3-epimerase-like 1";"RPEL1";"729020";-1,53313390023598;5,30176481045425;-7,14428352781844;1,1004353022374e-07;"9.192e-06";7,78516402449537
"11760372_at";"protein kinase, cAMP-dependent, catalytic, alpha";"PRKACA";"5566";-1,60957596307314;7,9603514226557;-7,14808868913258;1,08994722749913e-07;"9.192e-06";7,79448095299018
"11721114_a_at";"deoxyribose-phosphate aldolase (putative)";"DERA";"51071";1,46708389762709;5,81613271184272;7,12524088563117;1,15448816356271e-07;"9.293e-06";7,73851083940148
"11746552_s_at";"transmembrane protein 106A";"TMEM106A";"113277";-2,10365333726204;7,7792836070962;-7,12755820883233;1,14776838337856e-07;"9.293e-06";7,74419055492371
"11761263_at";"LIM and SH3 protein 1";"LASP1";"3927";-1,33742663202485;7,14572612076363;-7,13038956957677;1,13961205871174e-07;"9.293e-06";7,75112925348376
"11754353_x_at";"ring finger protein 213";"RNF213";"57674";-1,33099118481255;7,48498407146068;-7,1202782276144;1,16901406123317e-07;"9.330e-06";7,72634519618185
"11751496_a_at";"large tumor suppressor kinase 1";"LATS1";"9113";-1,3691358485854;8,09036886097285;-7,10671990850249;1,2096565400821e-07;"9.574e-06";7,69309213238799
"11748215_x_at";"chromosome 8 open reading frame 44";"C8orf44";"56260";-1,22363152565162;7,94122873351786;-7,10247618484453;1,22267113664355e-07;"9.596e-06";7,68267928175392
"11761225_a_at";"coenzyme Q4";"COQ4";"51117";-1,24359350848035;5,35302561397178;-7,09660272418584;1,24091951987746e-07;"9.659e-06";7,66826383223687
"11720069_s_at";"COMM domain containing 8";"COMMD8";"54951";1,35223866161294;5,33919331741768;7,05883357102621;1,36508489368533e-07;"1.013e-05";7,57546323476422
"11732469_at";"interleukin 3 receptor, alpha (low affinity)";"IL3RA";"3563";-1,56891946020041;9,14188660023565;-7,06206963586845;1,35396751826809e-07;"1.013e-05";7,5834213205647
"11741543_x_at";"zinc finger protein 577";"ZNF577";"84765";-1,29329261703171;7,07578501937451;-7,07294307175768;1,31728322832148e-07;"1.013e-05";7,61015163749264
"11742111_a_at";"dynein regulatory complex subunit 3";"DRC3";"83450";-1,24299007136166;6,92093702073671;-7,06687874468023;1,33761611599016e-07;"1.013e-05";7,59524542312397
"11742674_at";"late cornified envelope 3B";"LCE3B";"353143";-1,05175519409199;8,35557697630424;-7,05858655579802;1,36593731507103e-07;"1.013e-05";7,57485572519743
"11757426_x_at";"galactosidase beta 1 like 2";"GLB1L2";"89944";-1,13186817322961;7,7072507603809;-7,069008509915;1,33043912239302e-07;"1.013e-05";7,60048093930757
"11761566_at";"FGF-2 activity-associated protein 2";"GAFA2";"100130322";-1,64408112471576;6,92347008208868;-7,03147598567917;1,4628666020191e-07;"1.076e-05";7,50813424604942
"11734014_a_at";"SMAD family member 2";"SMAD2";"4087";1,13952105092229;7,94556908644389;7,02508955088021;1,48670246444733e-07;"1.085e-05";7,49240352144808
"11735884_at";"neurofibromin 2 (merlin)";"NF2";"4771";-1,66385584693814;7,27201539711766;-7,01918000510192;1,50911073489265e-07;"1.093e-05";7,47784299045841
"11745647_x_at";"ankyrin repeat and SOCS box containing 16";"ASB16";"92591";-1,14562976694448;7,13066923797529;-7,00759945705687;1,55402542751318e-07;"1.117e-05";7,44929728327448
"11738650_s_at";"otopetrin 1";"OTOP1";"133060";-1,4211182719246;6,94541506178043;-6,9986023669016;1,58985826134536e-07;"1.134e-05";7,42710841831919
"11761398_x_at";"transmembrane protein 138";"TMEM138";"51524";-1,22894638393129;6,85821943602057;-6,9922679971308;1,61558995536106e-07;"1.144e-05";7,41148050806916
"11760631_at";"G protein-coupled receptor kinase interacting ArfGAP 2";"GIT2";"9815";-1,64718197451207;6,66236257560259;-6,97510027967359;1,68748239744604e-07;"1.186e-05";7,36910046087117
"11760683_at";"SH3 and PX domains 2A";"SH3PXD2A";"9644";-1,46852732269683;8,0238558800552;-6,96986017245642;1,7100686985913e-07;"1.193e-05";7,35615766642967
"11758006_s_at";"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1";"SMARCAD1";"56916";1,08023794981348;5,36963513537785;6,95828264580762;1,7610686152143e-07;"1.205e-05";7,32754999714625
"11761144_a_at";"DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B";"DDX39B";"7919";-1,01214962033588;10,1690791768598;-6,96155820237486;1,74648441165469e-07;"1.205e-05";7,33564542740016
"11761283_at";"SET and MYND domain containing 3";"SMYD3";"64754";-1,51469175253097;7,30366643777621;-6,95720648422517;1,76588716583361e-07;"1.205e-05";7,32489001657176
"11718762_s_at";"proteasome maturation protein";"POMP";"51371";1,42010033579813;5,10731230749116;6,93731571150103;1,85740596116552e-07;"1.252e-05";7,27570028184858
"11761364_a_at";"NPL4 homolog, ubiquitin recognition factor";"NPLOC4";"55666";-1,52301132265707;5,72538806099633;-6,93648344641986;1,86133884375162e-07;"1.252e-05";7,27364105941434
"11745277_a_at";"slingshot protein phosphatase 1";"SSH1";"54434";-1,63016206269596;6,68275165524395;-6,93077683861025;1,88853483318294e-07;"1.261e-05";7,25951931106432
"11737233_x_at";"zinc finger protein 696";"ZNF696";"79943";-1,27282235200709;6,34152722368608;-6,91043704296317;1,98880190386555e-07;"1.314e-05";7,2091541099363
"11737881_x_at";"X-ray repair complementing defective repair in Chinese hamster cells 2";"XRCC2";"7516";-0,931776070563235;7,82002330933507;-6,90919113054862;1,99511707879221e-07;"1.314e-05";7,20606738771368
"11732641_a_at";"JNK1/MAPK8-associated membrane protein";"JKAMP";"51528";1,16011629396799;7,42126588853446;6,87785673552162;2,16083476647411e-07;"1.403e-05";7,12837637675189
"11743584_a_at";"PRELI domain containing 3B";"PRELID3B";"51012";1,34442779280972;8,25884973245529;6,87871689948051;2,15610366345994e-07;"1.403e-05";7,13051063550219
"11715196_s_at";"transmembrane protein 211";"TMEM211";"255349";-1,27261368481689;6,32264358773188;-6,87152576630381;2,19598318614835e-07;"1.411e-05";7,11266513878588
"11734764_at";"fibroblast growth factor receptor 1";"FGFR1";"2260";-1,22025850139415;5,36836232016432;-6,870353627066;2,20255425319517e-07;"1.411e-05";7,10975578229182
"11715250_s_at";"KIAA0825";"KIAA0825";"285600";1,36377482663914;4,93825047621207;6,82407267959344;2,47865325219027e-07;"1.436e-05";6,99475318795933
"11741546_a_at";"ethylmalonyl-CoA decarboxylase 1";"ECHDC1";"55862";1,35036504223637;7,38803341138086;6,84681557670636;2,33882956371928e-07;"1.436e-05";7,05129794362568
"11744978_a_at";"origin recognition complex subunit 4";"ORC4";"5000";1,43250882726271;5,87126335530986;6,84578350629183;2,34499745966614e-07;"1.436e-05";7,04873325911316
"11745330_a_at";"ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D";"ATP6V1D";"51382";1,24348682346624;9,07102237060696;6,83224809823769;2,42743708870937e-07;"1.436e-05";7,01508636318441
"11747792_a_at";"solute carrier family 31 (copper transporter), member 1";"SLC31A1";"1317";-0,979016546679997;9,94865188214172;-6,8329718258966;2,42295538154143e-07;"1.436e-05";7,01688597850553
"11748891_x_at";"calcium channel flower domain containing 1";"CACFD1";"11094";-0,940686912728396;7,41816722409699;-6,81660011837052;2,52642764630526e-07;"1.436e-05";6,97616128420671
"11749053_a_at";"zinc finger protein 552";"ZNF552";"79818";-1,73126122587347;6,67466394097893;-6,81478432584067;2,53817737999289e-07;"1.436e-05";6,97164256964536
"11749825_a_at";"septin 6";"SEPT6";"23157";-1,31522592829231;7,4271763822685;-6,82311847924497;2,48470220057901e-07;"1.436e-05";6,99237947769691
