"ID";"Gene.Title";"Gene.Symbol";"Entrez.Gene"
"11737668_at";"taste receptor, type 2, member 4";"TAS2R4";"50832"
"11738124_x_at";"sialic acid binding Ig-like lectin 10";"SIGLEC10";"89790"
"11738626_a_at";"forkhead box P2";"FOXP2";"93986"
"11739108_a_at";"chromosome X open reading frame 56";"CXorf56";"63932"
"11739262_at";"vacuolar protein sorting 4 homolog B (S. cerevisiae)";"VPS4B";"9525"
"11739318_a_at";"family with sequence similarity 114, member A1";"FAM114A1";"92689"
"11740285_at";"EF-hand calcium binding domain 1";"EFCAB1";"79645"
"11740543_at";"ADAMTS like 5";"ADAMTSL5";"339366"
"11740621_a_at";"lysine (K)-specific demethylase 2B";"KDM2B";"84678"
"11740777_a_at";"family with sequence similarity 129, member C";"FAM129C";"199786"
"11740873_x_at";"membrane-spanning 4-domains, subfamily A, member 7";"MS4A7";"58475"
"11741288_a_at";"neurexophilin 4";"NXPH4";"11247"
"11741599_at";"late cornified envelope 2A";"LCE2A";"353139"
"11741665_at";"protocadherin gamma subfamily A, 11";"PCDHGA11";"56105"
"11742082_a_at";"lactase-like";"LCTL";"197021"
"11742716_a_at";"transforming growth factor beta regulator 1";"TBRG1";"84897"
"11743132_at";"sarcolipin";"SLN";"6588"
"11743197_at";"toll-like receptor 4";"TLR4";"7099"
"11743569_a_at";"echinoderm microtubule associated protein like 1";"EML1";"2009"
"11743633_a_at";"syntaxin 2";"STX2";"2054"
"11743708_at";"synaptonemal complex protein 2";"SYCP2";"10388"
"11743952_a_at";"cilia and flagella associated protein 206";"CFAP206";"154313"
"11744752_a_at";"general transcription factor IIIC subunit 2";"GTF3C2";"2976"
"11744762_a_at";"family with sequence similarity 53, member A";"FAM53A";"152877"
"11745083_a_at";"mannosidase, endo-alpha";"MANEA";"79694"
"11745703_a_at";"RCAN family member 3";"RCAN3";"11123"
"11745984_a_at";"serine/arginine repetitive matrix 1";"SRRM1";"10250"
"11746025_a_at";"mast cell immunoglobulin-like receptor 1";"MILR1";"284021"
"11746032_a_at";"Ral GEF with PH domain and SH3 binding motif 2";"RALGPS2";"55103"
"11746299_a_at";"centlein, centrosomal protein";"CNTLN";"54875"
"11746396_a_at";"poly(ADP-ribose) polymerase family member 4";"PARP4";"143"
"11746575_a_at";"latent transforming growth factor beta binding protein 3";"LTBP3";"4054"
"11746965_a_at";"alanyl (membrane) aminopeptidase";"ANPEP";"290"
"11747025_a_at";"erb-b2 receptor tyrosine kinase 3";"ERBB3";"2065"
"11747153_x_at";"acyl-CoA thioesterase 9";"ACOT9";"23597"
"11747410_a_at";"mitochondrial ribosome recycling factor";"MRRF";"92399"
"11747583_s_at";"pregnancy up-regulated nonubiquitous CaM kinase";"PNCK";"139728"
"11747645_a_at";"ADAM metallopeptidase domain 17";"ADAM17";"6868"
"11747761_a_at";"mago homolog, exon junction complex core component";"MAGOH";"4116"
"11747861_a_at";"SNF related kinase";"SNRK";"54861"
"11748079_a_at";"nebulin";"NEB";"4703"
"11748534_a_at";"dimethylarginine dimethylaminohydrolase 1";"DDAH1";"23576"
"11748871_a_at";"acyl-CoA synthetase medium-chain family member 5";"ACSM5";"54988"
"11749233_s_at";"nucleosome assembly protein 1-like 1";"NAP1L1";"4673"
"11749358_a_at";"acyl-CoA dehydrogenase, long chain";"ACADL";"33"
"11749370_x_at";"XIAP associated factor 1";"XAF1";"54739"
"11749384_a_at";"component of oligomeric golgi complex 3";"COG3";"83548"
"11749549_a_at";"phosphatidylinositol glycan anchor biosynthesis class X";"PIGX";"54965"
"11749601_x_at";"leucine rich transmembrane and O-methyltransferase domain containing";"LRTOMT";"220074"
"11749977_a_at";"ring finger protein (C3H2C3 type) 6";"RNF6";"6049"
"11750848_a_at";"translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae)";"TOMM70A";"9868"
"11751084_s_at";"plexin D1";"PLXND1";"23129"
"11751243_a_at";"OTU deubiquitinase 7B";"OTUD7B";"56957"
"11751628_a_at";"transmembrane protein 140";"TMEM140";"55281"
"11751639_a_at";"general transcription factor IIi";"GTF2I";"2969"
"11752169_a_at";"aldehyde dehydrogenase 1 family, member L2";"ALDH1L2";"160428"
"11752321_a_at";"mirror-image polydactyly 1";"MIPOL1";"145282"
"11752324_a_at";"TBC1 domain family, member 30";"TBC1D30";"23329"
"11752420_x_at";"nuclear pore complex interacting protein family, member B6";"NPIPB6";"728741"
"11752492_a_at";"activin A receptor type IIA";"ACVR2A";"92"
"11752767_a_at";"sperm associated antigen 9";"SPAG9";"9043"
"11752928_x_at";"peptidylprolyl isomerase A (cyclophilin A)";"PPIA";"5478"
"11752936_a_at";"RNA binding motif protein 28";"RBM28";"55131"
"11753051_x_at";"zinc finger protein 483";"ZNF483";"158399"
"11753549_a_at";"CKLF-like MARVEL transmembrane domain containing 3";"CMTM3";"123920"
"11753703_a_at";"transmembrane protein 44";"TMEM44";"93109"
"11753717_a_at";"lysine (K)-specific demethylase 7A";"KDM7A";"80853"
"11753907_a_at";"protein O-fucosyltransferase 2";"POFUT2";"23275"
"11754373_a_at";"MAP/microtubule affinity-regulating kinase 3";"MARK3";"4140"
"11754695_a_at";"phospholipase A2, group V";"PLA2G5";"5322"
"11755217_a_at";"zinc finger protein 142";"ZNF142";"7701"
"11755225_a_at";"tubulin tyrosine ligase-like family member 4";"TTLL4";"9654"
"11755363_a_at";"WD repeat domain 91";"WDR91";"29062"
"11755428_a_at";"polymerase (DNA directed) kappa";"POLK";"51426"
"11755505_a_at";"zinc finger, SWIM-type containing 7";"ZSWIM7";"125150"
"11755787_s_at";"tectonic family member 1";"TCTN1";"79600"
"11756204_s_at";"tubulin, beta pseudogene 5";"TUBBP5";"643224"
"11756604_a_at";"protocadherin beta 2";"PCDHB2";"56133"
"11756641_a_at";"zinc finger protein 256";"ZNF256";"10172"
"11756645_x_at";"chemokine (C-X-C motif) ligand 16";"CXCL16";"58191"
"11756707_a_at";"unc-5 netrin receptor C";"UNC5C";"8633"
"11757114_at";"small nucleolar RNA, H/ACA box 12";"SNORA12";"677800"
"11757190_s_at";"lipopolysaccharide-induced TNF factor";"LITAF";"9516"
"11757403_x_at";"plasminogen";"PLG";"5340"
"11757447_s_at";"cytohesin 3";"CYTH3";"9265"
"11757468_a_at";"natriuretic peptide A";"NPPA";"4878"
"11757491_x_at";"reactive oxygen species modulator 1";"ROMO1";"140823"
"11757559_s_at";"mastermind-like transcriptional coactivator 1";"MAML1";"9794"
"11757560_a_at";"neuropeptide Y";"NPY";"4852"
"11758228_s_at";"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1";"AMMECR1";"9949"
"11758378_s_at";"RNA binding motif protein, X-linked-like 1";"RBMXL1";"494115"
"11758450_s_at";"lysine (K)-specific demethylase 4D";"KDM4D";"55693"
"11758460_s_at";"fatty acid amide hydrolase 2";"FAAH2";"158584"
"11758523_s_at";"structural maintenance of chromosomes 5";"SMC5";"23137"
"11758738_a_at";"sterol regulatory element binding transcription factor 1";"SREBF1";"6720"
"11758918_s_at";"transcription factor CP2";"TFCP2";"7024"
"11759134_a_at";"cholinergic receptor, nicotinic alpha 3";"CHRNA3";"1136"
"11759409_at";"potassium channel, voltage gated modifier subfamily V, member 2";"KCNV2";"169522"
"11759497_at";"carbohydrate (chondroitin 4) sulfotransferase 11";"CHST11";"50515"
"11759542_s_at";"protein kinase C and casein kinase substrate in neurons 2";"PACSIN2";"11252"
"11760106_at";"ATP5S-like";"ATP5SL";"55101"
"11760257_a_at";"ankyrin repeat and zinc finger domain containing 1";"ANKZF1";"55139"
"11760291_a_at";"N(alpha)-acetyltransferase 10, NatA catalytic subunit";"NAA10";"8260"
"11760660_at";"histone cluster 2, H2bc (pseudogene)";"HIST2H2BC";"337873"
"11760824_at";"MORN repeat containing 5";"MORN5";"254956"
"11761285_a_at";"asparaginase like 1";"ASRGL1";"80150"
"11761486_a_at";"proteasome 26S subunit, non-ATPase 8";"PSMD8";"5714"
"11761736_at";"histone deacetylase 8";"HDAC8";"55869"
"11761880_at";"aminoacylase 1";"ACY1";"95"
"11762007_x_at";"solute carrier family 4, sodium bicarbonate cotransporter, member 8";"SLC4A8";"9498"
"11762181_a_at";"general transcription factor IIH subunit 4";"GTF2H4";"2968"
"11762205_at";"zinc finger protein 718";"ZNF718";"255403"
"11763033_at";"ribosomal protein S16";"RPS16";"6217"
"11763261_x_at";"protein kinase (cAMP-dependent, catalytic) inhibitor alpha";"PKIA";"5569"
"11763420_at";"long intergenic non-protein coding RNA 1102";"LINC01102";"150568"
"11763426_a_at";"TRAF3 interacting protein 3";"TRAF3IP3";"80342"
"11764045_at";"ankyrin repeat and BTB (POZ) domain containing 1";"ABTB1";"80325"
"11764048_a_at";"aminoadipate-semialdehyde dehydrogenase";"AASDH";"132949"
"11764151_s_at";"tetratricopeptide repeat domain 17";"TTC17";"55761"
